class   code	description
icd9procs	00	操作和介入，NEC
icd9procs	00.0	治疗性超声
icd9procs	00.01	头和颈部血管治疗性超声
icd9procs	00.02	心脏治疗性超声
icd9procs	00.03	周围血管治疗性超声
icd9procs	00.09	其他治疗性超声
icd9procs	00.1	药物制剂
icd9procs	00.10	化学治疗物质植入
icd9procs	00.11	重组人类活化C蛋白输注（激活）
icd9procs	00.12	吸入一氧化氮管理
icd9procs	00.13	奈西立肽注射或输注
icd9procs	00.14	噁唑烷酮类抗生素注射或输注
icd9procs	00.15	大剂量白细胞介素-2[IL-2]输注
icd9procs	00.16	药物的静脉旁路移植[引导]加压疗法
icd9procs	00.17	血管加压剂灌注
icd9procs	00.18	输注免疫抑制抗体疗法
icd9procs	00.19	经输注的血脑屏障破坏术[BBBD]
icd9procs	00.2	血管的血管内显像
icd9procs	00.21	颅外脑血管的血管内显像
icd9procs	00.22	胸内血管的血管内显像
icd9procs	00.23	周围血管的血管内显像
icd9procs	00.24	冠状血管的血管内显像
icd9procs	00.25	肾血管的血管内显像
icd9procs	00.28	血管内显像,其他特指的血管
icd9procs	00.29	血管内显像,未特指的血管
icd9procs	00.3	计算机辅助外科手术[CAS]
icd9procs	00.31	CT或CTA的计算机辅助外科手术
icd9procs	00.32	MR/MRA的计算机辅助外科手术
icd9procs	00.33	荧光透视的计算机辅助外科手术
icd9procs	00.34	非显像计算机辅助外科手术
icd9procs	00.35	多数据的计算机辅助外科手术
icd9procs	00.39	其他计算机辅助外科手术
icd9procs	00.4	附属血管系统操作
icd9procs	00.40	单根血管操作
icd9procs	00.41	两根血管操作
icd9procs	00.42	三根血管操作
icd9procs	00.43	四根或更多根血管操作
icd9procs	00.44	分叉血管操作
icd9procs	00.45	置入一根血管支架
icd9procs	00.46	置入两根血管支架
icd9procs	00.47	置入三根血管支架
icd9procs	00.48	置入四根或更多根血管支架
icd9procs	00.49	过饱和氧化治疗
icd9procs	00.5	其他心血管操作
icd9procs	00.5	其他心血管操作
icd9procs	00.50	心脏再同步起搏器置入未提及去除心脏纤颤,全系统[CRT-P]
icd9procs	00.50	心脏再同步起搏器置入未提及去除心脏纤颤,全系统[CRT-P]
icd9procs	00.51	心脏再同步除颤器置入,全系统[CRT-D]
icd9procs	00.52	置入或置换经静脉入左心室冠状静脉系统的导线
icd9procs	00.53	仅置入或置换心脏再同步起搏器脉冲发生器[CRT-P]
icd9procs	00.54	仅置入或置换心脏再同步除颤器脉冲发生器装置[CRT-D]
icd9procs	00.55	其他周围血管药物洗脱支架置入
icd9procs	00.56	置入或置换植入型压力传感器与导线，用于心内或大血管血液动力学监测
icd9procs	00.57	心内或大血管的血液动力学监测皮下装置置入或置换
icd9procs	00.58	置入动脉瘤囊内压力监测装置（手术中）
icd9procs	00.59	冠状动脉血管内压力测量
icd9procs	00.6	血管操作
icd9procs	00.6	血管操作
icd9procs	00.60	表浅股动脉药物洗脱支架置入
icd9procs	00.60	表浅股动脉药物洗脱支架置入
icd9procs	00.61	颅外血管经皮血管成形术
icd9procs	00.62	颅内血管经皮血管成形术
icd9procs	00.62	颅内血管经皮血管成形术
icd9procs	00.63	颈动脉支架经皮置入
icd9procs	00.64	其他颅外动脉支架经皮置入
icd9procs	00.64	其他颅外动脉支架经皮置入
icd9procs	00.65	颅内血管支架经皮置入
icd9procs	00.65	颅内血管支架经皮置入
icd9procs	00.66	经皮冠状动脉腔内血管成形术[PTCA]
icd9procs	00.67	胸内动脉的血管内压力测量
icd9procs	00.67	胸内动脉的血管内压力测量
icd9procs	00.68	周围动脉的血管内压力测量
icd9procs	00.69	血管内压力测量，其他特指的和未特指的血管
icd9procs	00.7	髋关节的其他操作
icd9procs	00.70	髋关节置换修复术,双髋臼和股骨成分
icd9procs	00.71	髋关节置换修复术，髋臼成分
icd9procs	00.72	髋关节置换修复术，股骨成分
icd9procs	00.73	髋关节修复术伴仅髋臼衬垫和（或）股骨头置换
icd9procs	00.74	髋轴面,金属与聚乙烯
icd9procs	00.75	髋轴面,金属与金属
icd9procs	00.76	髋轴面,陶瓷与陶瓷
icd9procs	00.77	髋轴面,陶瓷与聚乙烯
icd9procs	00.78	髋轴面,陶瓷与金属
icd9procs	00.8	膝关节和髋关节的其他操作
icd9procs	00.80	膝关节置换修复术,全部（所有成分）
icd9procs	00.81	膝关节置换修复术，胫骨成份
icd9procs	00.82	膝关节置换修复术，股骨成份
icd9procs	00.83	膝关节置换修复术，髌骨成份
icd9procs	00.84	全膝关节置换修复术，胫骨置入（衬垫）
icd9procs	00.85	髋关节表面置换,全部,髋臼和股骨头
icd9procs	00.86	髋关节表面置换,部分的,股骨头
icd9procs	00.87	髋关节表面置换术,部分的,髋臼
icd9procs	00.9	其他操作和介入
icd9procs	00.91	与供者有血缘关系的活体移植
icd9procs	00.92	与供者无血缘关系的活体移植
icd9procs	00.93	从尸体上移植
icd9procs	00.94	手术中神经生理监测
icd9procs	01	颅、脑和脑膜的切开术和切除术
icd9procs	01.0	颅穿刺
icd9procs	01.01	脑池穿刺
icd9procs	01.02	经以前置入导管的脑室穿刺
icd9procs	01.09	其他颅的穿刺
icd9procs	01.1	颅、脑和脑膜诊断性操作
icd9procs	01.1	颅、脑和脑膜诊断性操作
icd9procs	01.10	颅内压监测
icd9procs	01.11	闭合性[经皮][针吸]脑膜活组织检查
icd9procs	01.12	开放性脑膜活组织检查
icd9procs	01.12	开放性脑膜活组织检查
icd9procs	01.13	闭合性[经皮][针吸]大脑活组织检查
icd9procs	01.14	开放性大脑活组织检查
icd9procs	01.14	开放性大脑活组织检查
icd9procs	01.15	颅骨活组织检查
icd9procs	01.16	颅内氧监测
icd9procs	01.17	脑温度监测
icd9procs	01.18	大脑和脑膜其他诊断性操作
icd9procs	01.19	颅骨其他诊断性操作
icd9procs	01.2	颅骨切开术和颅骨切除术
icd9procs	01.20	颅神经刺激脉冲发生器的植入或置换
icd9procs	01.21	颅静脉窦切开引流术
icd9procs	01.22	去除颅内神经刺激器导线
icd9procs	01.23	颅骨切开术部位的再切开
icd9procs	01.24	其他颅骨切开术
icd9procs	01.25	其他颅骨切除术
icd9procs	01.26	颅腔或组织的导管置入术
icd9procs	01.27	颅腔或组织的导管去除术
icd9procs	01.28	经伯尔孔的脑内导管放置术
icd9procs	01.29	颅神经刺激脉冲发生器去除术
icd9procs	01.3	大脑和脑膜切开术
icd9procs	01.3	大脑和脑膜切开术
icd9procs	01.31	脑膜切开术
icd9procs	01.32	脑叶切开术和(神经)束切断术
icd9procs	01.39	脑的其他切开术
icd9procs	01.39	脑的其他切开术
icd9procs	01.4	丘脑和苍白球手术
icd9procs	01.41	丘脑手术
icd9procs	01.42	苍白球手术
icd9procs	01.5	大脑和脑膜的其他切除术或破坏术
icd9procs	01.5	大脑和脑膜的其他切除术或破坏术
icd9procs	01.51	脑膜病损或组织的切除术
icd9procs	01.52	大脑半球切除术
icd9procs	01.53	脑叶切除术
icd9procs	01.59	大脑病损或组织的其他切除术或破坏术
icd9procs	01.59	大脑病损或组织的其他切除术或破坏术
icd9procs	01.6	颅骨病损的切除术
icd9procs	02	颅骨、脑和脑膜其他手术
icd9procs	02.0	颅成形术
icd9procs	02.01	颅缝切开术
icd9procs	02.02	颅骨骨折碎片提升术
icd9procs	02.03	颅骨瓣形成
icd9procs	02.04	颅骨骨移植（术）
icd9procs	02.05	颅骨(金属)板置入术
icd9procs	02.06	其他颅骨成形术
icd9procs	02.07	去除颅骨(金属)板
icd9procs	02.1	脑膜修补术
icd9procs	02.1	脑膜修补术
icd9procs	02.11	脑硬膜单纯缝合术
icd9procs	02.12	脑膜其他修补术
icd9procs	02.12	脑膜其他修补术
icd9procs	02.13	脑膜血管结扎术
icd9procs	02.13	脑膜血管结扎术
icd9procs	02.14	脉络丛切除术
