class	code	description
disease	A00	霍乱
disease	A00.0	霍乱，由于O1群霍乱弧菌，霍乱生物型所致
disease	A00.1	霍乱，由于O1群霍乱弧菌，埃尔托生物型所致
disease	A00.9	未特指的霍乱
disease	A01	伤寒和副伤寒
disease	A01.0	伤寒
disease	A01.1	副伤寒甲
disease	A01.2	副伤寒乙
disease	A01.3	副伤寒丙
disease	A01.4	未特指的副伤寒
disease	A02	其他沙门菌感染
disease	A02.0	沙门菌肠炎
disease	A02.1	沙门菌脓毒症
disease	A02.2	局限性沙门菌感染
disease	A02.8	其他特指的沙门菌感染
disease	A02.9	未特指的沙门菌感染
disease	A03	细菌性痢疾
disease	A03.0	志贺痢疾杆菌引起的细菌性痢疾
disease	A03.1	弗氏志贺菌引起的细菌性痢疾
disease	A03.2	波氏志贺菌引起的细菌性痢疾
disease	A03.3	宋内志贺菌引起的细菌性痢疾
disease	A03.8	其他细菌性痢疾
disease	A03.9	未特指的细菌性痢疾
disease	A04	其他细菌性肠道感染
disease	A04.0	肠道病原性大肠杆菌感染
disease	A04.1	肠毒性大肠杆菌感染
disease	A04.2	肠侵袭性大肠杆菌感染
disease	A04.3	肠出血性大肠杆菌感染
disease	A04.4	其他肠道大肠杆菌感染
disease	A04.5	弯曲菌肠炎
disease	A04.6	小肠结肠耶尔森菌性小肠炎
disease	A04.7	艰难梭状芽胞杆菌性小肠结肠炎
disease	A04.8	其他特指的细菌性肠道感染
disease	A04.9	未特指的细菌性肠道感染
disease	A05	其他细菌性食物中毒，不可归类在他处者
disease	A05.0	食物媒介的葡萄球菌性食物中毒
disease	A05.1	肉毒中毒
disease	A05.2	食物媒介的产气荚膜梭状芽胞杆菌[韦尔希梭状芽胞杆菌]食物中毒
disease	A05.3	食物媒介的副溶血性弧菌食物中毒
disease	A05.4	食物媒介的蜡样芽胞杆菌食物中毒
disease	A05.8	其他特指的细菌性食物中毒
disease	A05.9	未特指的细菌性食物中毒
disease	A06	阿米巴病
disease	A06.0	急性阿米巴痢疾
disease	A06.1	慢性肠阿米巴病
disease	A06.2	阿米巴非痢疾性结肠炎
disease	A06.3	肠道阿米巴瘤
disease	A06.4	阿米巴肝脓肿
disease	A06.5+	阿米巴肺脓肿
disease	A06.6+	阿米巴脑脓肿
disease	A06.7	皮肤阿米巴病
disease	A06.8	其他部位的阿米巴感染
disease	A06.9	未特指的阿米巴病
disease	A07	其他原虫性肠道疾病
disease	A07.0	小袋纤毛虫病
disease	A07.1	贾第虫病[兰伯鞭毛虫病]
disease	A07.2	隐孢子虫病
disease	A07.3	等孢球虫病
disease	A07.8	其他特指的原虫性肠道疾病
disease	A07.9	未特指的原虫性肠道疾病
disease	A08	病毒性和其他特指的肠道感染
disease	A08.0	轮状病毒性肠炎
disease	A08.1	诺如病毒起的急性胃肠病
disease	A08.2	腺病毒性肠炎
disease	A08.3	其他病毒性肠炎
disease	A08.4	未特指的病毒性肠道感染
disease	A08.5	其他特指的肠道感染
disease	A09	其他传染性和未特指病因的胃肠炎和结肠炎
disease	A09.0	其他和未特指传染性病因的胃肠炎和结肠炎
disease	A09.9	未特指病因的胃肠炎和结肠炎
disease	A15	呼吸道结核，经细菌学和组织学证实
disease	A15.0	肺结核，经显微镜下痰检查证实，伴有或不伴有痰培养
disease	A15.1	"肺结核,仅经痰培养所证实"
disease	A15.2	肺结核，经组织学所证实
disease	A15.3	肺结核，经未特指的方法所证实
disease	A15.4	胸腔内淋巴结结核，经细菌学和组织学所证实
disease	A15.5	喉、气管和支气管结核，经细菌学和组织学所证实
disease	A15.6	结核性胸膜炎，经细菌学和组织学所证实
disease	A15.7	原发性呼吸道结核，经细菌学和组织学所证实
disease	A15.8	其他呼吸道结核，经细菌学和组织学所证实
disease	A15.9	未特指的呼吸道结核，经细菌学和组织学所证实
disease	A16	呼吸道结核，未经细菌学或组织学所证实
disease	A16.0	肺结核，细菌学和组织学检查为阴性
disease	A16.1	肺结核，未做细菌学和组织学检查
disease	A16.2	肺结核，未提及细菌学或组织学的证实
disease	A16.3	胸腔内淋巴结结核，未提及细菌学或组织学的证实
disease	A16.4	喉、气管和支气管结核，未提及细菌学或组织学的证实
disease	A16.5	结核性胸膜炎，未提及细菌学或组织学的证实
disease	A16.7	原发性呼吸道结核，未提及细菌学或组织学的证实
disease	A16.8	其他呼吸道结核，未提及细菌学或组织学的证实
disease	A16.9	未特指的呼吸道结核，未提及细菌学或组织学的证实
disease	A17.0+	结核性脑膜炎
disease	A17.1+	脑膜结核瘤
disease	A17.8+	神经系统的其他结核
disease	A17.9+	未特指的神经系统结核
disease	A17+	神经系统的结核
disease	A18	其他器官的结核
disease	A18.0+	骨和关节的结核
disease	A18.1	泌尿生殖系统的结核
disease	A18.2	结核性周围淋巴结病
disease	A18.3	肠、腹膜和肠系膜淋巴结的结核
disease	A18.4	皮肤和皮下组织的结核
disease	A18.5	眼结核
disease	A18.6	耳结核
disease	A18.7+	肾上腺结核
disease	A18.8	其他特指器官的结核
disease	A19	粟粒性结核
disease	A19.0	单个特指部位的急性粟粒性结核
disease	A19.1	多个部位的急性粟粒性结核
disease	A19.2	未特指的急性粟粒性结核
disease	A19.8	其他粟粒性结核
disease	A19.9	未特指的粟粒性结核
disease	A20	鼠疫
disease	A20.0	腺鼠疫[腹股沟淋巴结鼠疫]
disease	A20.1	蜂窝织皮下型鼠疫
disease	A20.2	肺鼠疫
disease	A20.3	脑膜炎型鼠疫
disease	A20.7	脓毒症型鼠疫
disease	A20.8	其他形式的鼠疫
disease	A20.9	未特指的鼠疫
disease	A21	土拉菌病[兔热病]
disease	A21.0	溃疡腺型土拉菌病
disease	A21.1	眼腺型土拉菌病
disease	A21.2	肺土拉菌病
disease	A21.3	胃肠土拉菌病
disease	A21.7	全身性土拉菌病
disease	A21.8	其他形式的土拉菌病
disease	A21.9	未特指的土拉菌病
disease	A22	炭疽
disease	A22.0	皮肤炭疽
disease	A22.1	肺炭疽
disease	A22.2	胃肠炭疽
disease	A22.7	炭疽性脓毒症
disease	A22.8	其他形式的炭疽
disease	A22.9	未特指的炭疽
disease	A23	布氏菌病
disease	A23.0	马耳他布氏菌病
disease	A23.1	流产布氏菌病
disease	A23.2	猪布氏菌病
disease	A23.3	犬布氏菌病
disease	A23.8	其他布氏菌病
disease	A23.9	未特指的布氏菌病
disease	A24	鼻疽和类鼻疽
disease	A24.0	鼻疽
disease	A24.1	急性和暴发性类鼻疽
disease	A24.2	亚急性和慢性类鼻疽
disease	A24.3	其他类鼻疽
disease	A24.4	未特指的类鼻疽
disease	A25	鼠咬热
disease	A25.0	螺菌病
disease	A25.1	链杆菌病
disease	A25.9	未特指的鼠咬热
disease	A26	类丹毒
disease	A26.0	皮肤类丹毒
disease	A26.7	丹毒丝菌脓毒症
disease	A26.8	其他形式的类丹毒
disease	A26.9	未特指的类丹毒
disease	A27	钩端螺旋体病
disease	A27.0	出血性黄疸钩端螺旋体病
disease	A27.8	其他形式的钩端螺旋体病
disease	A27.9	未特指的钩端螺旋体病
disease	A28	其他动物源性细菌性疾病，不可归类在他处者
disease	A28.0	巴斯德菌病
disease	A28.1	猫抓病
disease	A28.2	肠外耶尔森菌病
disease	A28.8	其他特指的动物源性细菌性疾病，不可归类在他处者
disease	A28.9	未特指的动物源性细菌性疾病
disease	A30	麻风[汉森病]
disease	A30.0	未定类麻风
disease	A30.1	结核样型麻风
disease	A30.2	偏结核样型界线类麻风
disease	A30.3	中间界线类麻风
disease	A30.4	偏瘤型界线类麻风
disease	A30.5	瘤型麻风
disease	A30.8	其他形式的麻风
disease	A30.9	未特指的麻风
disease	A31	其他分枝杆菌感染
disease	A31.0	肺分枝杆菌感染
disease	A31.1	皮肤分枝杆菌感染
disease	A31.8	其他分枝杆菌感染
disease	A31.9	未特指的分枝杆菌感染
disease	A32	利斯特菌病
disease	A32.0	皮肤利斯特菌病
disease	A32.1+	利斯特菌性脑膜炎和脑膜脑炎
disease	A32.7	利斯特菌脓毒症
disease	A32.8	其他形式的利斯特菌病
disease	A32.9	未特指的利斯特菌病
disease	A33	新生儿破伤风
disease	A34	产科破伤风
disease	A35	其他破伤风
disease	A36	白喉
disease	A36.0	咽白喉
disease	A36.1	鼻咽白喉
disease	A36.2	喉白喉
disease	A36.3	皮肤白喉
disease	A36.8	其他白喉
disease	A36.9	未特指的白喉
disease	A37	百日咳
disease	A37.0	百日咳博德特杆菌性百日咳
disease	A37.1	副百日咳博德特杆菌性百日咳
disease	A37.8	其他博德特杆菌属性百日咳
disease	A37.9	未特指的百日咳
disease	A38	猩红热
disease	A39	脑膜炎球菌感染
disease	A39.0+	脑膜炎球菌性脑膜炎
disease	A39.1+	沃-弗综合征
disease	A39.2	急性脑膜炎球菌血症
disease	A39.3	慢性脑膜炎球菌血症
disease	A39.4	未特指的脑膜炎球菌血症
disease	A39.5+	脑膜炎球菌性心脏病
disease	A39.8	其他脑膜炎球菌感染
disease	A39.9	未特指的脑膜炎球菌感染
disease	A40	链球菌性脓毒症
disease	A40.0	A族链球菌性脓毒症
disease	A40.1	B族链球菌性脓毒症
disease	A40.2	D族链球菌和肠球菌所致脓毒症
disease	A40.3	肺炎链球菌性脓毒症
disease	A40.8	其他链球菌性脓毒症
disease	A40.9	未特指的链球菌性脓毒症
disease	A41	其他脓毒症
disease	A41.0	金黄色葡萄球菌性脓毒症
disease	A41.1	其他特指的葡萄球菌性脓毒症
disease	A41.2	未特指的葡萄球菌性脓毒症
disease	A41.3	流感嗜血杆菌性脓毒症
disease	A41.4	厌氧菌性脓毒症
disease	A41.5	其他革兰氏阴性病原体性脓毒症
disease	A41.8	其他特指的脓毒症
disease	A41.9	未特指的脓毒症
disease	A42	放线菌病
disease	A42.0	肺放线菌病
disease	A42.1	腹放线菌病
disease	A42.2	颈面部放线菌病
disease	A42.7	放线菌病性脓毒症
disease	A42.8	其他形式的放线菌病
disease	A42.9	未特指的放线菌病
disease	A43	诺卡菌病
disease	A43.0	肺诺卡菌病
disease	A43.1	皮肤诺卡菌病
disease	A43.8	其他形式的诺卡菌病
disease	A43.9	未特指的诺卡菌病
disease	A44	巴尔通体病
disease	A44.0	全身性巴尔通体病
disease	A44.1	皮肤和粘膜皮肤的巴尔通体病
disease	A44.8	其他形式的巴尔通体病
disease	A44.9	未特指的巴尔通体病
disease	A46	丹毒
disease	A48	其他细菌性疾病，不可归类在他处者
disease	A48.0	气性坏疽
disease	A48.1	军团病
disease	A48.2	非肺炎性军团病[庞蒂亚克热]
disease	A48.3	中毒性休克综合征
disease	A48.4	巴西紫热
disease	A48.8	其他特指的细菌性疾病
disease	A49	未特指部位的细菌性感染
disease	A49.0	未特指部位的葡萄球菌感染
disease	A49.1	未特指部位的链球菌和肠球菌感染
disease	A49.2	未特指部位的流感嗜血杆菌感染
disease	A49.3	未特指部位的支原体感染
disease	A49.8	未特指部位的其他的细菌性感染
disease	A49.9	未特指的细菌性感染
disease	A50	先天性梅毒
disease	A50.0	有症状的早期先天性梅毒
disease	A50.1	潜伏性早期先天性梅毒
disease	A50.2	未特指的早期先天性梅毒
disease	A50.3	晚期先天性梅毒性眼病
disease	A50.4	晚期先天性神经梅毒[青少年神经梅毒]
disease	A50.5	有症状的其他晚期先天性梅毒
disease	A50.6	潜伏性晚期先天性梅毒
disease	A50.7	未特指的晚期先天性梅毒
disease	A50.9	未特指的先天性梅毒
disease	A51	早期梅毒
disease	A51.0	初期生殖器梅毒
disease	A51.1	初期肛门梅毒
disease	A51.2	其他部位的初期梅毒
disease	A51.3	皮肤和粘膜二期梅毒
disease	A51.4	其他二期梅毒
disease	A51.5	潜伏性早期梅毒
disease	A51.9	未特指的早期梅毒
disease	A52	晚期梅毒
disease	A52.0+	心血管梅毒
disease	A52.1	有症状性神经梅毒
disease	A52.2	无症状性神经梅毒
disease	A52.3	未特指的神经梅毒
disease	A52.7	其他有症状性晚期梅毒
disease	A52.8	潜伏性晚期梅毒
disease	A52.9	未特指的晚期梅毒
disease	A53	其他和未特指的梅毒
disease	A53.0	未特指早期或晚期的潜伏性梅毒
disease	A53.9	未特指的梅毒
disease	A54	淋球菌感染
disease	A54.0	下泌尿生殖道的淋球菌感染不伴有尿道周或副腺的脓肿
disease	A54.1	下泌尿生殖道的淋球菌感染伴有尿道周和副腺的脓肿
disease	A54.2	淋球菌性盆腔腹膜炎和其他泌尿生殖道的淋球菌感染
disease	A54.3	眼的淋球菌感染
disease	A54.4+	肌肉骨骼系统的淋球菌感染
disease	A54.5	淋球菌性咽炎
disease	A54.6	肛门和直肠的淋球菌感染
disease	A54.8	其他淋球菌感染
disease	A54.9	未特指的淋球菌感染
disease	A55	衣原体（性病性）淋巴肉芽肿
disease	A56	其他性传播的衣原体疾病
disease	A56.0	下泌尿生殖道的衣原体感染
disease	A56.1	衣原体感染盆腔腹膜和其他泌尿生殖器官的
disease	A56.2	未特指的泌尿生殖道的衣原体感染
disease	A56.3	肛门和直肠的衣原体感染
disease	A56.4	咽的衣原体感染
disease	A56.8	其他部位的性传播的衣原体感染
disease	A57	软下疳
disease	A58	腹股沟肉芽肿
disease	A59	滴虫病[毛滴虫病]
disease	A59.0	泌尿生殖系滴虫病
disease	A59.8	其他部位的滴虫病
disease	A59.9	未特指的滴虫病
disease	A60	肛门生殖器的疱疹病毒[单纯疱疹]感染
disease	A60.0	生殖器和泌尿生殖道的疱疹病毒感染
disease	A60.1	肛周皮肤和直肠的疱疹病毒感染
disease	A60.9	未特指的肛门生殖器的疱疹病毒感染
disease	A63	"其他主要为性传播的疾病,不可归类在他处者"
disease	A63.0	肛门生殖器（性病性）疣
disease	A63.8	其他特指的主要为性传播的疾病
disease	A64	未特指的性传播疾病
disease	A65	非性病性梅毒
disease	A66	雅司病
disease	A66.0	雅司病初发损害
disease	A66.1	多发性乳头瘤和湿性角化过度性雅司病
disease	A66.2	雅司病的其他早期皮肤损害
disease	A66.3	雅司病角化过度
disease	A66.4	雅司病的树胶样肿和溃疡
disease	A66.5	毁形性鼻咽炎
disease	A66.6	雅司病的骨和关节损害
disease	A66.7	雅司病的其他表现
disease	A66.8	潜伏性雅司病
disease	A66.9	未特指的雅司病
disease	A67	品他病
disease	A67.0	品他病初期损害
disease	A67.1	品他病中期损害
disease	A67.2	品他病晚期损害
disease	A67.3	品他病的混合性损害
disease	A67.9	未特指的品他病
disease	A68	回归热
disease	A68.0	虱媒介的回归热
disease	A68.1	蜱媒介的回归热
disease	A68.9	未特指的回归热
disease	A69	其他螺旋体感染
disease	A69.0	坏死性溃疡性口炎
disease	A69.1	其他樊尚螺旋体感染
disease	A69.2	莱姆病
disease	A69.8	其他特指的螺旋体感染
disease	A69.9	未特指的螺旋体感染
disease	A70	鹦鹉热衣原体感染
disease	A71	沙眼
disease	A71.0	初期沙眼
disease	A71.1	活动期沙眼
disease	A71.9	未特指的沙眼
disease	A74	由衣原体引起的其他疾病
disease	A74.0+	衣原体结膜炎
disease	A74.8	其他衣原体疾病
disease	A74.9	未特指的衣原体感染
disease	A75	斑疹伤寒
disease	A75.0	普氏立克次体引起的流行性虱媒介的斑疹伤寒
disease	A75.1	再燃性斑疹伤寒[布里尔病]
disease	A75.2	地方性斑疹伤寒立克次体引起的斑疹伤寒
disease	A75.3	恙虫病立克次体引起的斑疹伤寒
disease	A75.9	未特指的斑疹伤寒
disease	A77	斑疹热[蜱媒介的立克次体病]
disease	A77.0	立氏立克次体性斑疹热
disease	A77.1	康诺尔立克次体性斑疹热
disease	A77.2	西伯利亚立克次体性斑疹热
disease	A77.3	澳洲立克次体性斑疹热
disease	A77.8	其他斑疹热
disease	A77.9	未特指的斑疹热
disease	A78	Q热
disease	A79	其他立克次体病
disease	A79.0	战壕热
disease	A79.1	螨立克次体性立克次体痘
disease	A79.8	其他特指的立克次体病
disease	A79.9	未特指的立克次体病
disease	A80	急性脊髓灰质炎
disease	A80.0	急性麻痹性脊髓灰质炎，与接种有关
disease	A80.1	急性麻痹性脊髓灰质炎，（外地）移入性野病毒
disease	A80.2	急性麻痹性脊髓灰质炎，本土性野病毒
disease	A80.3	其他和未特指的急性麻痹性脊髓灰质炎
disease	A80.4	急性非麻痹性脊髓灰质炎
disease	A80.9	未特指的急性脊髓灰质炎
disease	A81	中枢神经系统的非典型病毒感染
disease	A81.0	克罗伊茨费尔特-雅各布病
disease	A81.1	亚急性硬化性全脑炎
disease	A81.2	进行性多灶性白质脑病
disease	A81.8	中枢神经系统的其他非典型病毒感染
disease	A81.9	未特指的中枢神经系统的非典型病毒感染
disease	A82	狂犬病
disease	A82.0	森林狂犬病
disease	A82.1	城市狂犬病
disease	A82.9	未特指的狂犬病
disease	A83	蚊媒介的病毒性脑炎
disease	A83.0	日本脑炎
disease	A83.1	西方马脑炎
disease	A83.2	东方马脑炎
disease	A83.3	圣路易斯脑炎
disease	A83.4	澳大利亚脑炎
disease	A83.5	加利福尼亚脑炎
disease	A83.6	罗西欧病毒病
disease	A83.8	其他蚊媒介的病毒性脑炎
disease	A83.9	未特指的蚊媒介的病毒性脑炎
disease	A84	蜱媒介的病毒性脑炎
disease	A84.0	远东蜱媒介的脑炎[俄罗斯春-夏型脑炎]
disease	A84.1	中部欧洲蜱媒介的脑炎
disease	A84.8	其他蜱媒介的病毒性脑炎
disease	A84.9	未特指的蜱媒介的病毒性脑炎
disease	A85	其他病毒性脑炎，不可归类在他处者
disease	A85.0+	肠病毒性脑炎
disease	A85.1+	腺病毒性脑炎
disease	A85.2	未特指的节肢动物媒介的病毒性脑炎
disease	A85.8	其他特指的病毒性脑炎
disease	A86	未特指的病毒性脑炎
disease	A87	病毒性脑膜炎
disease	A87.0+	肠病毒性脑膜炎
disease	A87.1+	腺病毒性脑膜炎
disease	A87.2	淋巴细胞性脉络丛脑膜炎
disease	A87.8	其他病毒性脑膜炎
disease	A87.9	未特指的病毒性脑膜炎
disease	A88	中枢神经系统的其他病毒性感染，不可归类在他处者
disease	A88.0	肠病毒疹热[波士顿疹病]
disease	A88.1	流行性眩晕
disease	A88.8	中枢神经系统其他特指的病毒性感染
disease	A89	中枢神经系统未特指的病毒性感染
disease	A92	其他蚊媒介的病毒性发热
disease	A92.0	奇昆古尼亚病毒病
disease	A92.1	奥尼昂-尼昂热
disease	A92.2	委内瑞拉马型热
disease	A92.3	西尼罗河病毒感染
disease	A92.4	裂谷热
disease	A92.5	寨卡病毒病
disease	A92.8	其他特指的蚊媒介的病毒性发热
disease	A92.9	未特指的蚊媒介的病毒性发热
disease	A93	其他节肢动物媒介的病毒性发热，不可归类在他处者
disease	A93.0	奥罗普什病毒病
disease	A93.1	白蛉热
disease	A93.2	科罗拉多蜱热
disease	A93.8	其他特指的节肢动物媒介的病毒性发热
disease	A94	未特指的节肢动物媒介的病毒性发热
disease	A95	黄热病
disease	A95.0	森林黄热病
disease	A95.1	城市黄热病
disease	A95.9	未特指的黄热病
disease	A96	沙粒病毒性出血热
disease	A96.0	朱宁出血热
disease	A96.1	马丘波出血热
disease	A96.2	拉沙热
disease	A96.8	其他沙粒病毒性出血热
disease	A96.9	未特指的沙粒病毒性出血热
disease	A97	登革热
disease	A97.0	无症状登革热
disease	A97.1	有症状登革热
disease	A97.2	重症登革热
disease	A97.9	登革热，未特指
disease	A98	其他病毒性出血热，不可归类在他处者
disease	A98.0	克里米亚-刚果出血热
disease	A98.1	鄂木斯克出血热
disease	A98.2	基萨那[凯萨努]森林病
disease	A98.3	马尔堡病毒病
disease	A98.4	埃博拉病毒病
disease	A98.5	出血热伴有肾综合征
disease	A98.8	其他特指的病毒性出血热
disease	A99	未特指的病毒性出血热
disease	B00	疱疹病毒[单纯疱疹]感染
disease	B00.0	疱疹性湿疹
disease	B00.1	疱疹病毒性水疱皮炎
disease	B00.2	疱疹病毒性龈口炎和咽扁桃体炎
disease	B00.3+	疱疹病毒性脑膜炎
disease	B00.4+	疱疹病毒性脑炎
disease	B00.5	疱疹病毒性眼病
disease	B00.7	播散性疱疹病毒病
disease	B00.8	其他形式的疱疹病毒感染
disease	B00.9	未特指的疱疹病毒感染
disease	B01	水痘
disease	B01.0+	水痘脑膜炎
disease	B01.1+	水痘脑炎
disease	B01.2+	水痘肺炎
disease	B01.8	水痘伴有其他并发症
disease	B01.9	水痘不伴有并发症
disease	B02	带状疱疹
disease	B02.0+	带状疱疹脑炎
disease	B02.1+	带状疱疹脑膜炎
disease	B02.2+	带状疱疹累及其他神经系统
disease	B02.3	带状疱疹眼病
disease	B02.7	播散性带状疱疹
disease	B02.8	带状疱疹伴有其他并发症
disease	B02.9	带状疱疹不伴有并发症
disease	B03	天花
disease	B04	猴痘
disease	B05	麻疹
disease	B05.0+	麻疹并发脑炎
disease	B05.1+	麻疹并发脑膜炎
disease	B05.2+	麻疹并发肺炎
