大类	小类	项目
临床血液学检验
	临床血液一般检验
		白细胞计数
		淋巴细胞计数
		单核细胞计数
		中性粒细胞计数
		嗜酸性细胞计数
		嗜碱性细胞计数
		淋巴细胞比值
		单核细胞比值
		中性粒细胞比值
		嗜酸性细胞比值
		嗜碱性细胞比值
		红细胞计数
		血红蛋白测定
		红细胞压积
		平均红细胞体积
		平均血红蛋白含量
		平均血红蛋白浓度
		红细胞分布宽度
		血小板计数
		血小板压积
		平均血小板体积
		血小板分布宽度
		小细胞或淋巴细胞计数
		中等大小细胞计数
		大细胞或中性粒细胞计数
		小细胞或淋巴细胞比值
		中等大小细胞比值
		大细胞或中性粒细胞比值
		大未染色细胞计数
		大未染色细胞比值
		未成熟粒细胞计数
		未成熟粒细胞比值
		血细胞形态分析(含图文报告)
		高荧光强度网织红比例
		中荧光强度网织红比例
		低荧光强度网织红比例
		嗜碱性点彩红细胞计数
		异常白细胞形态检查
		异常红细胞形态检查
		异型淋巴细胞
		红细胞沉降率测定(手工法)
		红细胞沉降率测定(仪器法)
		红斑狼疮细胞检查
		红细胞刚性指数
		全血粘度值(mPas)200
		全血粘度值(mPas)50
		全血粘度值(mPas)5
		全血粘度高切150
		全血粘度中切50
		全血低切粘度10
		血浆黏度测定
		红细胞聚集指数
		红细胞变形性测定
		红细胞表面电荷测定
		其他
	骨髓细胞检查
		原红细胞
		早幼红细胞
		中幼红细胞
		晚幼红细胞
		原巨幼红细胞
		原早巨幼红细胞
		原中巨幼红细胞
		原晚巨幼红细胞
		原始粒细胞
		早幼粒细胞
		中幼粒细胞
		晚幼粒细胞
		杆状核粒细胞
		分叶核粒细胞
		中性中幼粒细胞
		中性晚幼粒细胞
		中性杆状核粒细胞
		中性分叶核粒细胞
		嗜酸性中幼粒细胞
		嗜酸性晚幼粒细胞
		嗜酸性杆状核粒细胞
		嗜酸性分叶核粒细胞
		嗜碱性中幼粒细胞
		嗜碱性晚幼粒细胞
		嗜碱性杆状核粒细胞
		嗜碱性分叶核粒细胞
		原始巨核细胞
		幼巨核细胞
		颗粒型巨核细胞
		产血小板型巨核细胞
		裸核巨核细胞
		血小板
		原始单核细胞
		幼单核细胞
		单核细胞
		巨噬细胞
		原始淋巴细胞
		幼淋巴细胞
		淋巴细胞
		异常淋巴细胞
		原始浆细胞
		幼浆细胞
		浆细胞
		内皮细胞
		吞噬细胞
		网状细胞
		组织嗜碱细胞
		核异质细胞
		造骨细胞
		破骨细胞
		骨髓涂片细胞学检查
		骨髓细胞彩色图象分析
		血细胞铁染色检查
		血细胞过氧化物酶染色检查
		中性粒细胞碱性磷酸酶染色检查
		血细胞糖原染色检查
		骨髓特殊染色
		染色体检查
		其他
	贫血的检查
		网织红细胞计数(镜检法)
		网织红细胞计数(仪器法)
		网织红细胞计数(流式细胞法)
		网织红细胞比值
		网织红细胞成熟指数
		红细胞膜蛋白电泳测定
		红细胞电泳测定
		血清结合珠蛋白测定
		血浆游离血红蛋白测定
		尿含铁血黄素试验
		红细胞渗透脆性试验
		红细胞孵育渗透脆性试验
		酸化甘油溶血试验
		高铁血红蛋白还原试验
		变性珠蛋白小体试验
		葡萄糖-6-磷酸脱氢酶测定
		丙酮酸激酶活性测定
		血红蛋白区带电泳分析
		血红蛋白组分色谱分析
		抗碱血红蛋白测定
		红细胞镰变试验
		热不稳定试验
		还原型血红蛋白溶解度测定
		血红蛋白A2测定(HbA2)
		胎儿血红蛋白(HbF)酸洗脱试验
		血红蛋白H包涵体检测
		血红蛋白C试验
		血红蛋白S溶解度试验
		异丙醇试验
		酸化溶血试验
		蔗糖溶血试验
		蛇毒因子溶血
		单特异性抗球蛋白试验
		冷凝集试验
		红细胞内游离原卟啉测定
		血清铁测定
		血清铁蛋白测定
		血清总铁结合力测定
		血清转铁蛋白测定
		血清和红细胞叶酸测定
		血清维生素B2测定
		其他
	血栓和止血的检查
		出血时间测定
		血管性血友病因子抗原测定
		血小板聚集试验
		血小板相关免疫球蛋白(PAIg)测定
		血浆血小板球蛋白和血小板4因子测定
		抗血小板膜糖蛋白自身抗体测定
		血小板膜α颗粒膜蛋白140测定(GMP－140)
		瑞斯托霉素诱导血小板聚集测定
		血小板第3因子有效性测定(PF3)
		血小板寿命测定
		血小板钙流测定
		血浆β—血小板球蛋白测定
		凝血功能和血小板功能动态监测
		活化凝血时间(ACT)
		活化部分凝血活酶时间(APTT)
		血浆凝血酶原时间(PT)
		凝血因子II(FII:C)的活性测定
		凝血因子V(FV:C)的活性测定
		凝血因子VII(FVII:C)的活性测定
		凝血因子X(FX:C)的活性测定
		凝血因子VIII(FVIII:C)的活性测定
		凝血因子IX(FIX:C)的活性测定
		凝血因子XI(FXI:C)的活性测定
		凝血因子XII(FXII:C)的活性测定
		床旁快速全血凝血功能测定
		血浆纤维蛋白原含量测定
		抗凝血酶抗原测定
		蛋白C抗原测定
		蛋白C活性测定
		蛋白S抗原测定
		凝血酶-抗凝血酶复合物测定
		复钙交叉试验
		凝血酶时间延长的纠正试验
		血浆肝素浓度测定
		狼疮抗凝物的检测
